,loc,drug
68,https://www.goodrx.com/aclaro-pd,aclaro-pd
69,https://www.goodrx.com/aclidinium,aclidinium
70,https://www.goodrx.com/aclovate,aclovate
71,https://www.goodrx.com/acnesic,acnesic
72,https://www.goodrx.com/acrivastine-and-pseudoephedrine,acrivastine-and-pseudoephedrine
73,https://www.goodrx.com/actemra,actemra
74,https://www.goodrx.com/acthib,acthib
75,https://www.goodrx.com/acticlate,acticlate
76,https://www.goodrx.com/acticoat,acticoat
77,https://www.goodrx.com/actigall,actigall
78,https://www.goodrx.com/actimmune,actimmune
79,https://www.goodrx.com/actiq,actiq
80,https://www.goodrx.com/active-fe,active-fe
81,https://www.goodrx.com/active-ob,active-ob
82,https://www.goodrx.com/activella,activella
83,https://www.goodrx.com/activyl-for-cats,activyl-for-cats
84,https://www.goodrx.com/activyl-for-dogs,activyl-for-dogs
85,https://www.goodrx.com/activyl-tick-plus,activyl-tick-plus
86,https://www.goodrx.com/actonel,actonel
87,https://www.goodrx.com/actoplus-met,actoplus-met
88,https://www.goodrx.com/actoplus-met-xr,actoplus-met-xr
89,https://www.goodrx.com/actos,actos
90,https://www.goodrx.com/acuicyn,acuicyn
91,https://www.goodrx.com/acular,acular
92,https://www.goodrx.com/acular-ls,acular-ls
93,https://www.goodrx.com/acuvail,acuvail
94,https://www.goodrx.com/acyclovir,acyclovir
95,https://www.goodrx.com/acyclovir-and-hydrocortisone,acyclovir-and-hydrocortisone
96,https://www.goodrx.com/aczone,aczone
97,https://www.goodrx.com/adacel,adacel
98,https://www.goodrx.com/adakveo,adakveo
99,https://www.goodrx.com/adalat,adalat
100,https://www.goodrx.com/adalat-cc,adalat-cc
101,https://www.goodrx.com/adalimumab,adalimumab
102,https://www.goodrx.com/adalimumab-adbm,adalimumab-adbm
103,https://www.goodrx.com/adalimumab-atto,adalimumab-atto
104,https://www.goodrx.com/adapalene,adapalene
105,https://www.goodrx.com/adapalene-non-prescription,adapalene-non-prescription
106,https://www.goodrx.com/adapalene-benzoyl-peroxide,adapalene-benzoyl-peroxide
107,https://www.goodrx.com/adasuve,adasuve
108,https://www.goodrx.com/adcetris,adcetris
109,https://www.goodrx.com/adcirca,adcirca
110,https://www.goodrx.com/adderall,adderall
111,https://www.goodrx.com/adderall-xr,adderall-xr
112,https://www.goodrx.com/addyi,addyi
113,https://www.goodrx.com/adefovir,adefovir
114,https://www.goodrx.com/adempas,adempas
115,https://www.goodrx.com/adenocard,adenocard
116,https://www.goodrx.com/adenoscan,adenoscan
117,https://www.goodrx.com/adenosine,adenosine
118,https://www.goodrx.com/adequan,adequan
119,https://www.goodrx.com/adhansia-xr,adhansia-xr
120,https://www.goodrx.com/adipex-p,adipex-p
121,https://www.goodrx.com/adlyxin,adlyxin
122,https://www.goodrx.com/admelog,admelog
123,https://www.goodrx.com/ado-trastuzumab-emtansine,ado-trastuzumab-emtansine
124,https://www.goodrx.com/adrenaclick,adrenaclick
125,https://www.goodrx.com/adrenalin,adrenalin
126,https://www.goodrx.com/adriamycin,adriamycin
127,https://www.goodrx.com/adrucil,adrucil
128,https://www.goodrx.com/aducanumab,aducanumab
129,https://www.goodrx.com/aduhelm,aduhelm
130,https://www.goodrx.com/advair,advair
131,https://www.goodrx.com/advantage-ii-for-cats,advantage-ii-for-cats
132,https://www.goodrx.com/advantage-ii-for-dogs,advantage-ii-for-dogs
133,https://www.goodrx.com/advantage-multi-for-cats,advantage-multi-for-cats
134,https://www.goodrx.com/advantage-multi-for-cats-5.1-9-lbs,advantage-multi-for-cats-5.1-9-lbs
135,https://www.goodrx.com/advantage-multi-for-cats-purple,advantage-multi-for-cats-purple
136,https://www.goodrx.com/advantage-multi-for-cats-purple-9.1-18-lbs,advantage-multi-for-cats-purple-9.1-18-lbs
137,https://www.goodrx.com/advantage-multi-for-dogs,advantage-multi-for-dogs
138,https://www.goodrx.com/advate,advate
139,https://www.goodrx.com/advicor,advicor
140,https://www.goodrx.com/advil,advil
141,https://www.goodrx.com/advil-allergy-and-congestion,advil-allergy-and-congestion
142,https://www.goodrx.com/advil-allergy-sinus,advil-allergy-sinus
143,https://www.goodrx.com/advil-cold-and-sinus,advil-cold-and-sinus
144,https://www.goodrx.com/advil-congestion,advil-congestion
145,https://www.goodrx.com/advil-dual-action,advil-dual-action
146,https://www.goodrx.com/advil-junior-strength,advil-junior-strength
147,https://www.goodrx.com/advil-migraine,advil-migraine
148,https://www.goodrx.com/advil-pm,advil-pm
149,https://www.goodrx.com/advocate-insulin,advocate-insulin
150,https://www.goodrx.com/advocate-lancing,advocate-lancing
151,https://www.goodrx.com/advocate-redi-code,advocate-redi-code
152,https://www.goodrx.com/adzenys-er,adzenys-er
153,https://www.goodrx.com/adzenys-xr-odt,adzenys-xr-odt
154,https://www.goodrx.com/aemcolo,aemcolo
155,https://www.goodrx.com/aerobid,aerobid
156,https://www.goodrx.com/aerobid-m,aerobid-m
157,https://www.goodrx.com/aerochamber-plus,aerochamber-plus
158,https://www.goodrx.com/aerochamber-plus-w-mask,aerochamber-plus-w-mask
159,https://www.goodrx.com/aerospan-hfa,aerospan-hfa
160,https://www.goodrx.com/aerosporin,aerosporin
161,https://www.goodrx.com/afatinib,afatinib
162,https://www.goodrx.com/afeditab-cr,afeditab-cr
163,https://www.goodrx.com/afinitor,afinitor
164,https://www.goodrx.com/afinitor-disperz,afinitor-disperz
165,https://www.goodrx.com/afirmelle,afirmelle
166,https://www.goodrx.com/aflibercept,aflibercept
167,https://www.goodrx.com/afluria,afluria
168,https://www.goodrx.com/afluria-quadrivalent,afluria-quadrivalent
169,https://www.goodrx.com/afoxolaner,afoxolaner
170,https://www.goodrx.com/afrezza,afrezza
171,https://www.goodrx.com/afrin,afrin
172,https://www.goodrx.com/afstyla,afstyla
173,https://www.goodrx.com/afterpill,afterpill
174,https://www.goodrx.com/agalsidase-beta,agalsidase-beta
175,https://www.goodrx.com/aggrenox,aggrenox
176,https://www.goodrx.com/agrylin,agrylin
177,https://www.goodrx.com/ahist,ahist
178,https://www.goodrx.com/aimovig,aimovig
179,https://www.goodrx.com/airduo,airduo
180,https://www.goodrx.com/ajovy,ajovy
181,https://www.goodrx.com/ak-dilate,ak-dilate
182,https://www.goodrx.com/ak-pentolate,ak-pentolate
183,https://www.goodrx.com/ak-poly-bac,ak-poly-bac
184,https://www.goodrx.com/ak-pred,ak-pred
185,https://www.goodrx.com/aklief,aklief
186,https://www.goodrx.com/akne-mycin,akne-mycin
187,https://www.goodrx.com/akovaz,akovaz
188,https://www.goodrx.com/akpro,akpro
189,https://www.goodrx.com/akynzeo,akynzeo
190,https://www.goodrx.com/ala-cort,ala-cort
191,https://www.goodrx.com/ala-quin,ala-quin
192,https://www.goodrx.com/ala-scalp,ala-scalp
193,https://www.goodrx.com/alamast,alamast
194,https://www.goodrx.com/alavert,alavert
195,https://www.goodrx.com/alavert-d,alavert-d
196,https://www.goodrx.com/alaway,alaway
197,https://www.goodrx.com/alaway-preservative-free,alaway-preservative-free
198,https://www.goodrx.com/albalon,albalon
199,https://www.goodrx.com/albendazole,albendazole
200,https://www.goodrx.com/albenza,albenza
201,https://www.goodrx.com/albiglutide,albiglutide
202,https://www.goodrx.com/albon,albon
203,https://www.goodrx.com/albuterol,albuterol
204,https://www.goodrx.com/albuterol-er,albuterol-er
205,https://www.goodrx.com/alcaftadine,alcaftadine
206,https://www.goodrx.com/alcaine,alcaine
207,https://www.goodrx.com/alclometasone,alclometasone
208,https://www.goodrx.com/alcortin-a,alcortin-a
209,https://www.goodrx.com/aldactazide,aldactazide
210,https://www.goodrx.com/aldactone,aldactone
211,https://www.goodrx.com/aldara,aldara
212,https://www.goodrx.com/aldesleukin,aldesleukin
213,https://www.goodrx.com/aldoclor,aldoclor
214,https://www.goodrx.com/aldomet,aldomet
215,https://www.goodrx.com/aldoril,aldoril
216,https://www.goodrx.com/aldurazyme,aldurazyme
217,https://www.goodrx.com/alecensa,alecensa
218,https://www.goodrx.com/alendronate,alendronate
219,https://www.goodrx.com/alendronate-cholecalciferol,alendronate-cholecalciferol
220,https://www.goodrx.com/alesse,alesse
221,https://www.goodrx.com/alevazol,alevazol
222,https://www.goodrx.com/aleve,aleve
223,https://www.goodrx.com/aleve-pm,aleve-pm
224,https://www.goodrx.com/alfuzosin,alfuzosin
225,https://www.goodrx.com/aliclen,aliclen
226,https://www.goodrx.com/alimta,alimta
227,https://www.goodrx.com/alinia,alinia
228,https://www.goodrx.com/aliqopa,aliqopa
229,https://www.goodrx.com/alirocumab,alirocumab
230,https://www.goodrx.com/aliskiren,aliskiren
231,https://www.goodrx.com/aliskiren-and-hydrochlorothiazide,aliskiren-and-hydrochlorothiazide
232,https://www.goodrx.com/aliskiren-amlodipine,aliskiren-amlodipine
233,https://www.goodrx.com/aliskiren-amlodipine-hctz,aliskiren-amlodipine-hctz
234,https://www.goodrx.com/aliskiren-valsartan,aliskiren-valsartan
235,https://www.goodrx.com/alitretinoin,alitretinoin
236,https://www.goodrx.com/alkeran,alkeran
237,https://www.goodrx.com/alkindi-sprinkle,alkindi-sprinkle
238,https://www.goodrx.com/allegra,allegra
239,https://www.goodrx.com/allegra-d,allegra-d
240,https://www.goodrx.com/allermyl,allermyl
241,https://www.goodrx.com/alli,alli
242,https://www.goodrx.com/allopurinol,allopurinol
243,https://www.goodrx.com/allzital,allzital
244,https://www.goodrx.com/almotriptan,almotriptan
245,https://www.goodrx.com/alocane-plus,alocane-plus
246,https://www.goodrx.com/alocril,alocril
247,https://www.goodrx.com/alodox,alodox
248,https://www.goodrx.com/alogliptin,alogliptin
249,https://www.goodrx.com/alogliptin-metformin,alogliptin-metformin
250,https://www.goodrx.com/alogliptin-pioglitazone,alogliptin-pioglitazone
251,https://www.goodrx.com/alomide,alomide
252,https://www.goodrx.com/aloquin,aloquin
253,https://www.goodrx.com/alora,alora
254,https://www.goodrx.com/alosetron,alosetron
255,https://www.goodrx.com/aloxi,aloxi
256,https://www.goodrx.com/alphagan-p,alphagan-p
257,https://www.goodrx.com/alphanate,alphanate
258,https://www.goodrx.com/alphanine-sd,alphanine-sd
259,https://www.goodrx.com/alphaquin-hp,alphaquin-hp
260,https://www.goodrx.com/alphatrex,alphatrex
261,https://www.goodrx.com/alprazolam,alprazolam
262,https://www.goodrx.com/alprazolam-er,alprazolam-er
263,https://www.goodrx.com/alprolix,alprolix
264,https://www.goodrx.com/alrex,alrex
265,https://www.goodrx.com/alsuma,alsuma
266,https://www.goodrx.com/altabax,altabax
267,https://www.goodrx.com/altacaine,altacaine
268,https://www.goodrx.com/altace,altace
269,https://www.goodrx.com/altafluor,altafluor
270,https://www.goodrx.com/altavera,altavera
271,https://www.goodrx.com/altoprev,altoprev
272,https://www.goodrx.com/altreno,altreno
273,https://www.goodrx.com/altretamine,altretamine
274,https://www.goodrx.com/aluminum-hydroxide-magnesium-hydroxide-simethicone,aluminum-hydroxide-magnesium-hydroxide-simethicone
275,https://www.goodrx.com/alunbrig,alunbrig
276,https://www.goodrx.com/alupent,alupent
277,https://www.goodrx.com/alvesco,alvesco
278,https://www.goodrx.com/alvimopan,alvimopan
279,https://www.goodrx.com/alyacen-1-35,alyacen-1-35
280,https://www.goodrx.com/alyacen-7-7-7,alyacen-7-7-7
281,https://www.goodrx.com/alyq,alyq
282,https://www.goodrx.com/amabelz,amabelz
283,https://www.goodrx.com/amantadine,amantadine
284,https://www.goodrx.com/amaryl,amaryl
285,https://www.goodrx.com/ambien,ambien
286,https://www.goodrx.com/ambien-cr,ambien-cr
287,https://www.goodrx.com/ambisome,ambisome
288,https://www.goodrx.com/ambrisentan,ambrisentan
289,https://www.goodrx.com/amcill,amcill
290,https://www.goodrx.com/amcinonide,amcinonide
291,https://www.goodrx.com/ameluz,ameluz
292,https://www.goodrx.com/amerge,amerge
293,https://www.goodrx.com/amethia,amethia
294,https://www.goodrx.com/amethia-lo,amethia-lo
295,https://www.goodrx.com/amethyst,amethyst
296,https://www.goodrx.com/amicar,amicar
297,https://www.goodrx.com/amidate,amidate
298,https://www.goodrx.com/amifostine,amifostine
299,https://www.goodrx.com/amiloride,amiloride
300,https://www.goodrx.com/amiloride-hctz,amiloride-hctz
301,https://www.goodrx.com/aminocaproic-acid,aminocaproic-acid
302,https://www.goodrx.com/aminophyllin,aminophyllin
303,https://www.goodrx.com/aminophylline,aminophylline
304,https://www.goodrx.com/amiodarone,amiodarone
305,https://www.goodrx.com/amitid,amitid
306,https://www.goodrx.com/amitiza,amitiza
307,https://www.goodrx.com/amitraz,amitraz
308,https://www.goodrx.com/amitril,amitril
309,https://www.goodrx.com/amitriptyline,amitriptyline
310,https://www.goodrx.com/amivantamab,amivantamab
311,https://www.goodrx.com/amjevita,amjevita
312,https://www.goodrx.com/amlodipine,amlodipine
313,https://www.goodrx.com/amlodipine-atorvastatin,amlodipine-atorvastatin
314,https://www.goodrx.com/amlodipine-benazepril,amlodipine-benazepril
315,https://www.goodrx.com/amlodipine-olmesartan,amlodipine-olmesartan
316,https://www.goodrx.com/amlodipine-valsartan,amlodipine-valsartan
317,https://www.goodrx.com/amlodipine-valsartan-hctz,amlodipine-valsartan-hctz
318,https://www.goodrx.com/ammonil,ammonil
319,https://www.goodrx.com/ammonium-lactate,ammonium-lactate
320,https://www.goodrx.com/amnesteem,amnesteem
321,https://www.goodrx.com/amondys-45,amondys-45
322,https://www.goodrx.com/amoxapine,amoxapine
323,https://www.goodrx.com/amoxi-drop,amoxi-drop
324,https://www.goodrx.com/amoxi-tabs,amoxi-tabs
325,https://www.goodrx.com/amoxicillin,amoxicillin
326,https://www.goodrx.com/amoxicillin-potassium-clavulanate,amoxicillin-potassium-clavulanate
327,https://www.goodrx.com/amoxicillin-potassium-clavulanate-er,amoxicillin-potassium-clavulanate-er
328,https://www.goodrx.com/amoxil,amoxil
329,https://www.goodrx.com/amphetamine-er,amphetamine-er
330,https://www.goodrx.com/amphetamine-salt-combo,amphetamine-salt-combo
331,https://www.goodrx.com/amphetamine-salt-combo-xr,amphetamine-salt-combo-xr
332,https://www.goodrx.com/amphetamine-sulfate,amphetamine-sulfate
333,https://www.goodrx.com/ampicillin,ampicillin
334,https://www.goodrx.com/ampicillin-sulbactam,ampicillin-sulbactam
335,https://www.goodrx.com/ampyra,ampyra
336,https://www.goodrx.com/amrix,amrix
337,https://www.goodrx.com/amturnide,amturnide
338,https://www.goodrx.com/amvaz,amvaz
339,https://www.goodrx.com/amyl-nitrite,amyl-nitrite
340,https://www.goodrx.com/amzeeq,amzeeq
341,https://www.goodrx.com/ana-lex,ana-lex
342,https://www.goodrx.com/anadrol,anadrol
343,https://www.goodrx.com/anafranil,anafranil
344,https://www.goodrx.com/anagrelide,anagrelide
345,https://www.goodrx.com/anakinra,anakinra
346,https://www.goodrx.com/analgesic-balm,analgesic-balm
347,https://www.goodrx.com/analpram-advanced,analpram-advanced
348,https://www.goodrx.com/analpram-e,analpram-e
349,https://www.goodrx.com/analpram-hc,analpram-hc
350,https://www.goodrx.com/anaprox,anaprox
351,https://www.goodrx.com/anaprox-ds,anaprox-ds
352,https://www.goodrx.com/anaspaz,anaspaz
353,https://www.goodrx.com/anastrozole,anastrozole
354,https://www.goodrx.com/ancef,ancef
355,https://www.goodrx.com/ancobon,ancobon
356,https://www.goodrx.com/andexxa,andexxa
357,https://www.goodrx.com/androderm,androderm
358,https://www.goodrx.com/androgel,androgel
359,https://www.goodrx.com/android,android
360,https://www.goodrx.com/androxy,androxy
361,https://www.goodrx.com/angeliq,angeliq
362,https://www.goodrx.com/angiomax,angiomax
363,https://www.goodrx.com/angiomax-rtu,angiomax-rtu
364,https://www.goodrx.com/anidulafungin,anidulafungin
365,https://www.goodrx.com/anifrolumab,anifrolumab
366,https://www.goodrx.com/animax,animax
367,https://www.goodrx.com/animi-3,animi-3
368,https://www.goodrx.com/animi-3-with-vitamin-d,animi-3-with-vitamin-d
369,https://www.goodrx.com/anipryl,anipryl
370,https://www.goodrx.com/anjeso,anjeso
371,https://www.goodrx.com/annovera,annovera
372,https://www.goodrx.com/anoro-ellipta,anoro-ellipta
373,https://www.goodrx.com/ansaid,ansaid
374,https://www.goodrx.com/antabuse,antabuse
375,https://www.goodrx.com/antara,antara
376,https://www.goodrx.com/antipyrine-benzocaine,antipyrine-benzocaine
377,https://www.goodrx.com/antirobe,antirobe
378,https://www.goodrx.com/antivert,antivert
379,https://www.goodrx.com/anucort-hc,anucort-hc
380,https://www.goodrx.com/anusol-hc,anusol-hc
381,https://www.goodrx.com/anxitane,anxitane
382,https://www.goodrx.com/anzemet,anzemet
383,https://www.goodrx.com/apadaz,apadaz
384,https://www.goodrx.com/apexicon,apexicon
385,https://www.goodrx.com/apexicon-e,apexicon-e
386,https://www.goodrx.com/apidra,apidra
387,https://www.goodrx.com/apixaban,apixaban
388,https://www.goodrx.com/aplenzin,aplenzin
389,https://www.goodrx.com/apokyn,apokyn
390,https://www.goodrx.com/apomorphine,apomorphine
391,https://www.goodrx.com/apoquel,apoquel
392,https://www.goodrx.com/apraclonidine,apraclonidine
393,https://www.goodrx.com/apremilast,apremilast
394,https://www.goodrx.com/aprepitant,aprepitant
395,https://www.goodrx.com/apresazide,apresazide
396,https://www.goodrx.com/apresoline,apresoline
397,https://www.goodrx.com/apri,apri
398,https://www.goodrx.com/apriso,apriso
399,https://www.goodrx.com/aprizio-pak,aprizio-pak
400,https://www.goodrx.com/aptensio-xr,aptensio-xr
401,https://www.goodrx.com/aptiom,aptiom
402,https://www.goodrx.com/aptivus,aptivus
403,https://www.goodrx.com/aquanaz,aquanaz
404,https://www.goodrx.com/aquoral,aquoral
405,https://www.goodrx.com/arakoda,arakoda
406,https://www.goodrx.com/aralast-np,aralast-np
407,https://www.goodrx.com/aralen,aralen
408,https://www.goodrx.com/aranelle,aranelle
409,https://www.goodrx.com/aranesp,aranesp
410,https://www.goodrx.com/arava,arava
411,https://www.goodrx.com/arazlo,arazlo
412,https://www.goodrx.com/arbinoxa,arbinoxa
413,https://www.goodrx.com/arcalyst,arcalyst
414,https://www.goodrx.com/arcapta,arcapta
415,https://www.goodrx.com/arctic-relief,arctic-relief
416,https://www.goodrx.com/arestin,arestin
417,https://www.goodrx.com/arformoterol,arformoterol
418,https://www.goodrx.com/argatroban,argatroban
419,https://www.goodrx.com/aricept,aricept
420,https://www.goodrx.com/arikayce,arikayce
421,https://www.goodrx.com/arimidex,arimidex
422,https://www.goodrx.com/aripiprazole,aripiprazole
423,https://www.goodrx.com/aripiprazole-lauroxil,aripiprazole-lauroxil
424,https://www.goodrx.com/aristada,aristada
425,https://www.goodrx.com/arixtra,arixtra
426,https://www.goodrx.com/armodafinil,armodafinil
427,https://www.goodrx.com/armonair,armonair
428,https://www.goodrx.com/armour-thyroid,armour-thyroid
429,https://www.goodrx.com/arnuity-ellipta,arnuity-ellipta
430,https://www.goodrx.com/aromasin,aromasin
431,https://www.goodrx.com/arranon,arranon
432,https://www.goodrx.com/artane,artane
433,https://www.goodrx.com/artemether-and-lumefantrine,artemether-and-lumefantrine
434,https://www.goodrx.com/artesunate,artesunate
435,https://www.goodrx.com/arthramine,arthramine
436,https://www.goodrx.com/arthrotec,arthrotec
437,https://www.goodrx.com/artificial-tears,artificial-tears
438,https://www.goodrx.com/arymo-er,arymo-er
439,https://www.goodrx.com/arzerra,arzerra
440,https://www.goodrx.com/asacol,asacol
441,https://www.goodrx.com/asacol-hd,asacol-hd
442,https://www.goodrx.com/ascomp-with-codeine,ascomp-with-codeine
443,https://www.goodrx.com/asenapine,asenapine
444,https://www.goodrx.com/asendin,asendin
445,https://www.goodrx.com/ashlyna,ashlyna
446,https://www.goodrx.com/asmanex,asmanex
447,https://www.goodrx.com/asmanex-hfa,asmanex-hfa
448,https://www.goodrx.com/asparaginase-erwinia-chrysanthemi,asparaginase-erwinia-chrysanthemi
449,https://www.goodrx.com/asparlas,asparlas
450,https://www.goodrx.com/aspirin,aspirin
451,https://www.goodrx.com/aspirin-caffeine-dihydrocodeine,aspirin-caffeine-dihydrocodeine
452,https://www.goodrx.com/aspirin-dipyridamole-er,aspirin-dipyridamole-er
453,https://www.goodrx.com/aspirin-omeprazole-dr,aspirin-omeprazole-dr
454,https://www.goodrx.com/assurity,assurity
455,https://www.goodrx.com/astagraf-xl,astagraf-xl
456,https://www.goodrx.com/astelin,astelin
457,https://www.goodrx.com/astepro,astepro
458,https://www.goodrx.com/atacand,atacand
459,https://www.goodrx.com/atacand-hct,atacand-hct
460,https://www.goodrx.com/atarax,atarax
461,https://www.goodrx.com/atazanavir,atazanavir
462,https://www.goodrx.com/atazanavir-and-cobicistat,atazanavir-and-cobicistat
463,https://www.goodrx.com/atelvia,atelvia
464,https://www.goodrx.com/atenolol,atenolol
465,https://www.goodrx.com/atenolol-chlorthalidone,atenolol-chlorthalidone
466,https://www.goodrx.com/atezolizumab,atezolizumab
467,https://www.goodrx.com/athentia-next,athentia-next
468,https://www.goodrx.com/ativan,ativan
469,https://www.goodrx.com/atomoxetine,atomoxetine
470,https://www.goodrx.com/atopaderm,atopaderm
471,https://www.goodrx.com/atopica-for-cats,atopica-for-cats
472,https://www.goodrx.com/atopica-for-dogs,atopica-for-dogs
473,https://www.goodrx.com/atopiclair,atopiclair
474,https://www.goodrx.com/atorvastatin,atorvastatin
475,https://www.goodrx.com/atovaquone,atovaquone
476,https://www.goodrx.com/atovaquone-proguanil,atovaquone-proguanil
477,https://www.goodrx.com/atralin,atralin
478,https://www.goodrx.com/atrapro,atrapro
479,https://www.goodrx.com/atripla,atripla
480,https://www.goodrx.com/atropine,atropine
481,https://www.goodrx.com/atrovent,atrovent
482,https://www.goodrx.com/atrovent-hfa,atrovent-hfa
483,https://www.goodrx.com/aubagio,aubagio
484,https://www.goodrx.com/aubra,aubra
485,https://www.goodrx.com/augmentin,augmentin
486,https://www.goodrx.com/augmentin-xr,augmentin-xr
487,https://www.goodrx.com/auranofin,auranofin
488,https://www.goodrx.com/aurodex,aurodex
489,https://www.goodrx.com/auroguard,auroguard
490,https://www.goodrx.com/aurovela-1.5-30,aurovela-1.5-30
491,https://www.goodrx.com/aurovela-1-20,aurovela-1-20
492,https://www.goodrx.com/aurovela-24-fe,aurovela-24-fe
493,https://www.goodrx.com/aurovela-fe-1.5-30,aurovela-fe-1.5-30
494,https://www.goodrx.com/aurovela-fe-1-20,aurovela-fe-1-20
495,https://www.goodrx.com/auryxia,auryxia
496,https://www.goodrx.com/austedo,austedo
497,https://www.goodrx.com/autolet,autolet
498,https://www.goodrx.com/autopen,autopen
499,https://www.goodrx.com/auvi-q,auvi-q
500,https://www.goodrx.com/avage,avage
501,https://www.goodrx.com/avalide,avalide
502,https://www.goodrx.com/avanafil,avanafil
503,https://www.goodrx.com/avandamet,avandamet
504,https://www.goodrx.com/avandaryl,avandaryl
505,https://www.goodrx.com/avandia,avandia
506,https://www.goodrx.com/avapritinib,avapritinib
507,https://www.goodrx.com/avapro,avapro
508,https://www.goodrx.com/avar,avar
509,https://www.goodrx.com/avar-ls,avar-ls
510,https://www.goodrx.com/avar-e,avar-e
511,https://www.goodrx.com/avar-e-green,avar-e-green
512,https://www.goodrx.com/avar-e-ls,avar-e-ls
513,https://www.goodrx.com/avastin,avastin
514,https://www.goodrx.com/avc,avc
515,https://www.goodrx.com/aveed,aveed
516,https://www.goodrx.com/avelox,avelox
517,https://www.goodrx.com/avelumab,avelumab
518,https://www.goodrx.com/avenova,avenova
519,https://www.goodrx.com/aventyl,aventyl
520,https://www.goodrx.com/aviane,aviane
521,https://www.goodrx.com/avinza,avinza
522,https://www.goodrx.com/avita,avita
523,https://www.goodrx.com/avo-cream,avo-cream
