Illnesses,CVS,The Little Clinic (Kroger Pharmacy),Walmart,Costco,Vanderbilt Health Clinic at Walgreens
Motion sickness prevention,$59-$69,,,,
Pre-travel consultation,$59-$69,,,,
Traveler's diarrhea prevention & care,$59-$69,,,,
Travel Healthcare Services including prescriptions,,$89 ,,,
Typhoid,$142 ,$135 ,,,
Birth control care,$59-$69,,,,
HPV (human papillomavirus) (women's services),$250 ,,,,
Pregnancy evaluation,$89 ,,,,
Urinary tract & bladder infections,$99-$139,$89-$119,,,
Yeast infections,$99-$139,$89-$129,,,
HIV test,,,$95 ,,
Pap smear,,,$50 ,,
H Pylori test,,,$15 ,,
A1c test,$32 ,,,,
Urinary tract & bladder infections test,,,$10 ,,
Adeno test (viral pink eye),$25 ,$112 ,,,
Blood count (CBC) test,,,$8 ,,
Blood sugar test,$25 ,,$4 ,,
COVID-19 result test (nasal swab),,$94 ,,,
COVID-19 rapid result test,$120 ,,,,
Flu test influenza A & B,$70-$100,$129 ,$46 ,,
Lipid panel (cholesterol screen),$37 ,$54 ,$20 ,,
Mono test,$22 ,$113 ,$10 ,,
Pregnancy test,$25 ,$114 ,$10 ,,
BV test,,,$15 ,,
Trichomonas test,,,$15 ,,
Strep test,$35-$45,,,,
Strep Test (rapid),,$109 ,$20 ,,
Urine dipstick,$35 ,,$15 ,,
Allergy shots,,$45 ,,,
Phenergan,,$129 ,,,
Rocephin,,$27-$45,,,
Self injectale prescriptions,,$25 ,,,
Steroid,,$27-$45,,,
Toradol,,$27-$45,,,
PSA (protate-specific antigen) test,,,$15 ,,
STD (Clamydia/Gonorrhea) test,,,$35 ,,
"Sugar, electrolytes, and kidney test",,,$8 ,,
Thyroid test,,,$10 ,,
Uric acid test,,,$8 ,,
Vitamin B12 levels test,,,$15 ,,
Vitamin D levels test,,,$35 ,,
Migraine treatment,,,$25 ,,
